source_center,destination_center,route_type,time_of_day,median_segment_factor,median_segment_actual_time,median_segment_osrm_time,median_segment_osrm_distance,trip_count,source_name,destination_name
IND177101AAA,IND176001AAB,FTL,Evening,1.1170940170940171,35.5,29.0,21.493850000000002,2,DehraGopipur_Central_D_1 (Himachal Pradesh),Kangra_Central_D_2 (Himachal Pradesh)
IND177203AAA,IND177101AAA,FTL,Evening,1.5135135135135136,56.0,37.0,32.0739,3,Amb_Adrshngr_D (Himachal Pradesh),DehraGopipur_Central_D_1 (Himachal Pradesh)
IND181152AAA,IND184121AAA,FTL,Morning,1.4722222222222223,23.5,16.5,18.80575,10,Jammu_TrnptNgr_L (Jammu & Kashmir),Samba_Wardno13_D (Jammu & Kashmir)
IND181152AAB,IND160002AAC,FTL,Morning,1.5789473684210527,31.0,21.0,23.4801,15,Jammu_Central_I_1 (Jammu & Kashmir),Chandigarh_Mehmdpur_H (Punjab)
IND181152AAB,IND181201AAB,Carting,Morning,2.8,24.0,11.0,10.1267,3,Jammu_Central_I_1 (Jammu & Kashmir),Akhnoor_ThthiCwk_D (Jammu & Kashmir)
IND181152AAB,IND181201AAB,Carting,Night,2.44949494949495,26.5,10.5,10.925149999999999,18,Jammu_Central_I_1 (Jammu & Kashmir),Akhnoor_ThthiCwk_D (Jammu & Kashmir)
IND181152AAB,IND184121AAA,FTL,Morning,1.8958333333333335,26.0,16.0,18.28635,8,Jammu_Central_I_1 (Jammu & Kashmir),Samba_Wardno13_D (Jammu & Kashmir)
IND181201AAB,IND181152AAB,Carting,Morning,3.4545454545454546,38.0,11.0,10.1635,3,Akhnoor_ThthiCwk_D (Jammu & Kashmir),Jammu_Central_I_1 (Jammu & Kashmir)
IND181201AAB,IND181152AAB,Carting,Night,2.857142857142857,20.0,7.0,9.9248,21,Akhnoor_ThthiCwk_D (Jammu & Kashmir),Jammu_Central_I_1 (Jammu & Kashmir)
IND184104AAA,IND160002AAC,FTL,Morning,1.5151515151515151,31.0,20.0,23.3914,47,Kathua_BOB_D (Jammu & Kashmir),Chandigarh_Mehmdpur_H (Punjab)
IND184104AAA,IND181152AAA,FTL,Afternoon,1.1904761904761905,27.0,22.5,24.32375,4,Kathua_BOB_D (Jammu & Kashmir),Jammu_TrnptNgr_L (Jammu & Kashmir)
IND184104AAA,IND181152AAA,FTL,Morning,1.4292307692307693,28.5,22.0,24.204949999999997,8,Kathua_BOB_D (Jammu & Kashmir),Jammu_TrnptNgr_L (Jammu & Kashmir)
IND184104AAA,IND181152AAB,FTL,Morning,1.2850000000000001,29.0,22.5,24.87155,8,Kathua_BOB_D (Jammu & Kashmir),Jammu_Central_I_1 (Jammu & Kashmir)
IND184104AAA,IND184121AAA,FTL,Morning,1.2857142857142856,25.0,20.5,22.48505,6,Kathua_BOB_D (Jammu & Kashmir),Samba_Wardno13_D (Jammu & Kashmir)
IND184121AAA,IND160002AAC,FTL,Morning,1.5555555555555556,29.0,20.0,23.3759,65,Samba_Wardno13_D (Jammu & Kashmir),Chandigarh_Mehmdpur_H (Punjab)
IND184121AAA,IND181152AAA,FTL,Morning,1.4871794871794872,22.0,16.0,18.36795,2,Samba_Wardno13_D (Jammu & Kashmir),Jammu_TrnptNgr_L (Jammu & Kashmir)
IND184121AAA,IND181152AAB,FTL,Morning,1.2916666666666667,20.5,15.0,17.37545,2,Samba_Wardno13_D (Jammu & Kashmir),Jammu_Central_I_1 (Jammu & Kashmir)
IND184121AAA,IND184104AAA,FTL,Morning,1.212797619047619,24.5,19.0,20.54075,6,Samba_Wardno13_D (Jammu & Kashmir),Kathua_BOB_D (Jammu & Kashmir)
IND201001AAA,IND201007AAA,Carting,Morning,3.076923076923077,40.0,13.0,10.3784,3,Ghaziabad_Patel Nagar (Uttar Pradesh),GZB_Mohan_Nagar_DPC (Uttar Pradesh)
IND201001AAA,IND201007AAA,Carting,Night,1.2142857142857142,17.0,7.5,5.4265,4,Ghaziabad_Patel Nagar (Uttar Pradesh),GZB_Mohan_Nagar_DPC (Uttar Pradesh)
IND201001AAC,IND000000ACB,Carting,Night,1.1071428571428572,12.0,28.0,42.1248,9,Ghaziabad_Central_L_8 (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana)
