node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score
IND000000AFT,0.0048455127924456705,5,8,0.0684931506849315,166.0,2.3138331304323208,Mumbai_Sanpada_I (Maharashtra),0.8043551235459813
IND110035AAC,0.0,1,1,0.0,6.0,1.869047619047619,Delhi_North_R_8 (Delhi),0.0
IND515134AAA,0.002422391523271597,3,2,0.05555555555555555,106.0,1.5953159041394336,Puttaprthi_Gokulam_D (Andhra Pradesh),0.2567735014667893
IND515201AAA,0.0008103828247004393,1,2,0.0,72.0,2.0,Hindupur_Parigi_D (Andhra Pradesh),0.05834756337843163
IND421302AAN,0.0,0,1,0.0,48.0,2.4,GreaterThane_Anjur_C (Maharashtra),0.0
IND501359AAE,0.09263166084939599,30,27,0.03734177215189873,3340.0,1.7882088018171898,Hyderabad_Shamshbd_H (Telangana),309.3897472369826
IND500050AAA,0.0008070989681392938,2,2,0.2,80.0,1.948611111111111,Patancheru_Ameenpur_I (Telangana),0.0645679174511435
IND110044AAB,0.002606165866378661,2,6,0.26785714285714285,766.0,1.7298755064380062,Del_Okhla_PC (Delhi),1.9963230536460541
IND560002AAA,0.0,3,2,1.0,94.0,1.9724442224442225,Bengaluru_KHRoad_I (Karnataka),0.0
IND842001AAA,0.024698797378752718,12,15,0.035919540229885055,709.0,2.207867305305222,Muzaffrpur_Bbganj_I (Bihar),17.51144734153568
IND846004AAA,0.0008103828247004393,1,2,0.3333333333333333,43.0,2.6751080787591945,Darbhanga (Bihar),0.034846461462118894
IND847103AAA,0.0,1,1,0.5,37.0,1.9374999999999998,Benipur_Javahar_D (Bihar),0.0
IND847404AAB,0.000806004349285579,2,1,0.3333333333333333,46.0,4.74796195652174,Jhanjharpur_Nagar_D (Bihar),0.03707620006713663
IND424006AAA,0.00327692397507188,6,9,0.09313725490196079,229.0,1.7647486772486771,Dhule_MIDCAvdn_I (Maharashtra),0.7504155902914605
IND424304AAC,0.0,3,2,0.875,20.0,8.649143008154637,Sakri_DhuleRoad_D (Maharashtra),0.0
IND425412AAA,0.00013986796464137853,4,4,0.5,29.0,5.058970408616478,Nandurbar_DhuleRd_D (Maharashtra),0.0040561709745999775
IND425409AAA,0.0001371314175070907,3,4,0.5789473684210527,24.0,4.7026115401115405,Shahada_Nandrbar_D (Maharashtra),0.0032911540201701764
IND425405AAA,0.0001371314175070907,2,2,0.4,21.0,15.008806689342405,Shirpur_KrantiNgr_D (Maharashtra),0.0028797597676489045
IND712124AAA,0.0,2,2,1.0,54.0,4.322649572649572,Hooghly_DC (West Bengal),0.0
IND712103AAA,0.0,2,2,1.0,76.0,2.7293447293447293,Hoogly_Bandel_D (West Bengal),0.0
IND201007AAA,0.0037709810634413234,8,5,0.08904109589041095,65.0,2.508754578754579,GZB_Mohan_Nagar_DPC (Uttar Pradesh),0.24511376912368601
IND245304AAA,0.0,2,2,1.0,80.0,2.2127872127872124,Pilkhuwa_HapurRD_D (Uttar Pradesh),0.0
IND380006AAA,0.0,0,1,0.0,36.0,1.9027777777777777,Ahmedabad_Paldi_D (Gujarat),0.0
IND560058AAB,9.729945366356768e-07,3,3,0.9230769230769231,167.0,1.4394515937279095,Bengaluru_Peenya_IP (Karnataka),0.000162490087618158
IND585222AAA,3.648729512383788e-07,2,2,0.0,84.0,1.4503968253968254,Sedam_DBRCmplx_D (Karnataka),3.064932790402382e-05
IND585307AAB,0.00040391435702088536,2,2,0.0,123.0,2.0694444444444446,Chincholi_Mainroad_D (Karnataka),0.0496814659135689
IND624001AAA,2.116263117182597e-05,2,3,0.1,49.0,1.3612313612313613,Dindigul_Central_D_1 (Tamil Nadu),0.0010369689274194725
IND624619AAA,1.824364756191894e-05,2,1,0.3333333333333333,17.0,1.25,Oddnchtram_Palani_D (Tamil Nadu),0.000310142008552622
IND624601AAA,2.0432885269349214e-05,1,2,0.16666666666666666,6.0,4.714285714285714,Palani_RjndraRd_D (Tamil Nadu),0.0001225973116160953
IND624101AAA,4.013602463622167e-06,1,1,0.0,0.0,0.0,Kodaikanal_Athithnr_DC (Tamil Nadu),0.0
IND624202AAA,6.20284017105244e-06,1,1,0.0,20.0,1.3992094861660078,Batlagundu_RTOofice_D (Tamil Nadu),0.0001240568034210488
IND605601AAA,0.0048367558416159495,3,3,0.0,108.0,1.6000000000000003,Villupuram_Thirumtr_IP (Tamil Nadu),0.5223696308945226
IND607106AAA,0.001619306157595925,1,1,0.0,30.0,2.1666666666666665,Panruti_GandhiRd_D (Tamil Nadu),0.048579184727877756
IND607801AAA,0.0016171169198884948,1,1,0.0,46.0,2.133928571428571,Neyveli_NJVNgr_D (Tamil Nadu),0.07438737831487076
IND606003AAA,0.0016149276821810646,1,1,0.0,28.0,1.6666666666666667,Virudhchlm_SelamRd_D (Tamil Nadu),0.04521797510106981
IND606105AAA,0.0016127384444736344,1,1,0.0,74.0,1.5,Pennadam_EastmnRD_D (Tamil Nadu),0.11934264489104894
IND606201AAC,0.0016105492067662042,1,1,0.0,146.0,1.6458333333333337,Chinnasalem_VkotRoad_D (Tamil Nadu),0.2351401841878658
IND695582AAA,0.0,0,2,0.5,0.0,0.0,Kazhakkoottam_Rdiosttn_D (Kerala),0.0
IND695101AAB,0.0004196038939241356,2,2,0.1,15.0,2.1651315789473684,Attingal_Central_D_2 (Kerala),0.0062940584088620345
IND691574AAA,9.851569683436227e-06,2,1,0.16666666666666666,42.0,1.5,Kalluvathukal_Pariplly_D (Kerala),0.00041376592670432154
IND751015AAA,0.0,0,4,0.4166666666666667,32.0,1.989285714285714,Bhubaneshwar_Nayapalli (Orissa),0.0
IND530043AAA,0.0004053738488258389,1,2,0.0,37.0,4.9914772727272725,Visakhapatnam_VislkNgr_DC (Andhra Pradesh),0.014998832406556039
IND531163AAA,1.824364756191894e-07,1,1,0.0,39.0,2.25,Bheemunipatnam_SaiTempl_D (Andhra Pradesh),7.115022549148387e-06
IND535001AAA,0.0004031846111184086,2,1,0.0,60.0,2.055555555555556,Vizianagaram_NcsRd_DC (Andhra Pradesh),0.024191076667104516
IND380021AAA,0.0,0,1,0.0,63.0,3.8601491101491106,AMD_Rakhial (Gujarat),0.0
IND174103AAA,0.0006044120437263745,4,1,0.3888888888888889,18.0,2.1921739130434785,Baddi_ByePass_D (Himachal Pradesh),0.010879416787074742
IND121001AAA,0.0,1,1,0.0,49.0,1.8295454545454544,Faridabad (Haryana),0.0
IND400705AAA,0.00040573872177707723,1,1,0.0,35.0,2.7874999999999996,Mumbai_Sanpada_CP (Maharashtra),0.014200855262197703
IND573201AAB,0.013240244859405302,4,5,0.08823529411764706,167.0,1.9835541551410105,Hassan_Pandrnga_I (Karnataka),2.2111208915206855
IND573116AAA,0.0020232205146168106,1,3,0.16666666666666666,28.0,2.6213519808628503,Channaraya_patna_D (Karnataka),0.0566501744092707
IND571104AAA,0.0012106484522089408,1,2,0.16666666666666666,33.0,1.7522492127755287,Koppa_BMRd_D (Karnataka),0.039951398922895044
IND577598AAB,0.0,1,1,0.5,50.0,1.9857704694661218,Madikeri_MuthpTmp_D (Karnataka),0.0
IND573142AAA,0.002012274326079659,3,1,0.16666666666666666,34.0,1.9388468013468014,Ramanathapura_Central_D_2 (Karnataka),0.0684173270867084
IND572201AAB,0.0010083264007472597,2,4,0.3076923076923077,17.0,1.7017540049447946,Tiptur_YTRd_D (Karnataka),0.017141548812703414
IND573103AAA,0.00020195717851044268,2,2,0.6,13.0,1.4239651416122008,Arsikere_HsnRdDPP_D (Karnataka),0.002625443320635755
IND577116AAA,3.648729512383788e-07,3,1,0.4,2.0,1.263157894736842,Unknown_Source,7.297459024767576e-07
IND577132AAD,0.0008056394763343404,1,1,0.5,20.0,1.8928571428571428,Mudigere_HesglDPP_D (Karnataka),0.016112789526686808
IND573134AAB,0.0016120086985711576,2,2,0.1,30.0,2.0177314945116804,Sakleshpur_RgvdrDPP_D (Karnataka),0.04836026095713473
IND421302AAR,0.0016291577272793613,5,4,0.0,111.0,3.5522642390289447,Mumbai_East_I_21 (Maharashtra),0.1808365077280091
IND122002AAD,0.0,0,1,0.0,7.0,2.2,Gurgaon_Central_D_15 (Haryana),0.0
IND122503AAA,0.0004039143570208854,1,1,0.0,8.0,1.9444444444444449,Pataudi_DC (Haryana),0.0032313148561670833
IND637301AAA,0.0,0,1,0.0,10.0,1.8529411764705883,Sankari_Trchngrd_D (Tamil Nadu),0.0
IND742149AAA,0.0,0,2,0.5,49.0,2.847222222222222,Murshidabad_Sirjudol_D (West Bengal),0.0
IND742148AAA,0.0,1,1,0.5,48.0,3.333333333333333,Lalgola_KrsprDPP_D (West Bengal),0.0
IND742225AAA,0.0008092882058467242,2,1,0.16666666666666666,32.0,4.459821428571429,Ragunthgnj_GopalDPP_D (West Bengal),0.025897222587095176
IND742223AAA,0.0012128376899163712,1,1,0.0,65.0,2.0416666666666665,Jangipur_Central_D_1 (West Bengal),0.07883444984456413
IND742226AAA,0.0016156574280835414,1,2,0.0,56.0,1.972972972972973,Sagardighi_UtBzrDPP_D (West Bengal),0.09047681597267831
IND623407AAA,1.0946188537151365e-06,1,1,0.0,0.0,0.0,Thiruvadanai_RamnadRD_D (Tamil Nadu),0.0
IND623315AAB,5.473094268575682e-06,1,1,0.0,60.0,1.5,Oriyur_Vllyaprm_D (Tamil Nadu),0.0003283856561145409
IND614620AAA,9.851569683436227e-06,1,1,0.0,157.0,1.8333333333333333,Manamelkudi_TmpleSrt_D (Tamil Nadu),0.0015466964402994876
IND580028AAA,0.013631987925137805,9,8,0.07894736842105263,401.0,1.9164160608389484,Hubli_Adargchi_IP (Karnataka),5.4664271579802595
IND591123AAC,0.0012150269276238015,1,1,0.0,55.0,1.4817330917874394,Ramdurg_GndhiNGR_D (Karnataka),0.06682648101930908
IND587103AAB,0.0012128376899163712,1,2,0.16666666666666666,59.0,1.8581451881451883,Bagalkot_Sector4_D (Karnataka),0.0715574237050659
IND582209AAA,0.0,1,1,0.5,32.0,1.8276223776223777,Rona_GadagRD_D (Karnataka),0.0
IND582101AAB,0.0012084592145015106,2,1,0.16666666666666666,52.0,2.904166666666667,Gadag_Cdosclrd_D (Karnataka),0.06283987915407854
IND160002AAC,0.0550782085482796,32,29,0.028421633554083885,2153.0,1.7228711164185113,Chandigarh_Mehmdpur_H (Punjab),118.58338300444598
IND335001AAA,0.002811346089291708,1,1,0.0,40.0,1.5238095238095235,Ganga Nagar_DC (Rajasthan),0.11245384357166832
IND201307AAA,0.0,1,1,0.0,26.0,1.3923076923076922,Noida_Chukhndi_D (Uttar Pradesh),0.0
IND500080AAB,0.0004035494840696469,2,1,0.0,61.0,2.395791245791246,Hyderabad_Chikdply_I (Telangana),0.02461651852824846
IND845418AAB,1.824364756191894e-07,2,2,0.5,43.0,2.191128129898523,Dhaka_PchpkrRD_D (Bihar),7.844768451625144e-06
IND845438AAA,0.0004053738488258389,2,1,0.6666666666666666,30.0,1.84375,Bettiah_BypassRd_D (Bihar),0.012161215464775166
IND845455AAB,0.00040318461111840865,1,2,0.6666666666666666,131.0,2.1476299422434293,Narktiganj_Central_DPP_2 (Bihar),0.052817184056511535
IND641062AAD,9.340747551702498e-05,7,8,0.0392156862745098,327.0,1.8917340148957795,Coimbatore_Karayam_H (Tamil Nadu),0.030544244494067167
