node_id,node_name
IND395023AAD,Surat_Central_I_4 (Gujarat)
IND68004AAA,Thrissur_Poothole_D (Kerala)
IND678683AAA,Vadakkencherry_Robinson_D (Kerala)
IND000000ABD,Pallakad_ChndrNgr_D (Kerala)
IND414001AAA,AhmedNagar_DC (Maharashtra)
IND414302AAB,Parner_Hindcwk_D (Maharashtra)
IND412210AAC,Shirur_Central_DPP_3 (Maharashtra)
IND209111AAA,Pukhrayan_Arulimod_D (Uttar Pradesh)
IND285001AAD,Orai_Ajnari_D (Uttar Pradesh)
IND591102AAA,Bailhongal_NamoNagr_D (Karnataka)
IND494334AAB,Kanker_KrisnKunj_D (Chhattisgarh)
IND560083AAB,Bengaluru_Bnnrghta_L (Karnataka)
IND244901AAB,Rampur_RoshnBgh_I (Uttar Pradesh)
IND243001AAA,Bareilly_Central_D_2 (Uttar Pradesh)
IND243503AAB,Faridpur_ShjnprRD_D (Uttar Pradesh)
IND600032AAB,Chennai_Hub (Tamil Nadu)
IND517501AAB,Tirupati_Balajicly_I (Andhra Pradesh)
IND517583AAA,Puttur_Artmclny_D (Andhra Pradesh)
IND516101AAA,Koduru_MGRoad_D (Andhra Pradesh)
IND516115AAA,Rajampet_RSRoad_D (Andhra Pradesh)
IND721102AAA,Midnapore_Talkui_D (West Bengal)
IND563131AAB,Bangarapet_KolarRd_D (Karnataka)
IND563116AAA,Bethamangala_FshryOFC_D (Karnataka)
IND756019AAA,Balasore_Ganeshwr_D (Orissa)
IND757025AAA,Betnoti_MhliaDPP_D (Orissa)
IND244715AAA,Ramnagar_BhwniGnj_D (Uttarakhand)
IND244713AAA,Kashipur_Vaishali_D (Uttarakhand)
IND263401AAA,Kashipur_BajprDPP_D (Uttarakhand)
IND250611AAA,Baraut_SrnprHwy_D (Uttar Pradesh)
IND247776AAA,Shamli_KarnalRd_D (Uttar Pradesh)
IND251309AAB,Budhana_Busstand_D (Uttar Pradesh)
IND400701AAA,Mumbai_Ghansoli_DC (Maharashtra)
IND431136AAC,Aurangabad_Central_H_1 (Maharashtra)
IND147105AAA,Patran_MheshNGR_D (Punjab)
IND390020AAA,Vadodara (Gujarat)
IND583101AAA,Bellary_Dc (Karnataka)
IND577535AAC,Molakalmuru_KnsgraRD_D (Karnataka)
IND577522AAA,Challakere_Shivangr_D (Karnataka)
IND400102AAC,Mumbai_Jogshwri_I (Maharashtra)
IND632402AAA,Ranipet_MBTRd_DC (Tamil Nadu)
IND631102AAA,Sholinghur_ArkonmRD_D (Tamil Nadu)
IND723131AAA,Manbazar_Central_DPP_1 (West Bengal)
IND722140AAA,Khatra_KoralDPP_D (West Bengal)
IND722151AAA,Simlapal_Central_D_1 (West Bengal)
IND507111AAA,Bhadrachalam_ITDARd_D (Telangana)
IND507117AAB,Manuguru_AskNagar_D (Telangana)
IND641008AAA,Cjb_Kovaipudur_Dc (Tamil Nadu)
IND641011AAA,Cjb_West_Dc (Tamil Nadu)
IND441904AAB,Bhandara_RjnaiDPP_D (Maharashtra)
IND441912AAA,Bhandara_KaremDPP_D (Maharashtra)
IND781022AAA,Guwahati_Sixmile (Assam)
IND390022AAA,Vadodara_Karelibaug_DPC (Gujarat)
IND411014AAA,PNQ Vadgaon Sheri DPC (Maharashtra)
IND713205AAB,Durgapur_Central_I_1 (West Bengal)
IND201304AAA,Noida_Sec-83_DC (Uttar Pradesh)
IND591126AAA,Saundatti_ShanthiS_D (Karnataka)
IND680104AAA,Guruvayoor_ManhrBld_D (Kerala)
IND000000AFG,Tirur_PmthuKlm_D (Kerala)
IND673632AAA,Kozhikode_Central_H_4 (Kerala)
IND410206AAB,Mumbai_Panvel_D (Maharashtra)
IND303108AAB,Kotputli_LXngrDPP_D (Rajasthan)
IND132103AAB,Panipat_PC (Haryana)
IND131021AAA,Sonipat_AmzonDev_V (Haryana)
IND201306AAA,Noida_Surajpur_DC (Uttar Pradesh)
IND811399AAA,Noida_Sector02_C (Uttar Pradesh)
IND403726AAB,Goa_ZuariNgr_IP (Goa)
IND121004AAA,Faridabad_Blbgarh_DC (Haryana)
